Malo	Malo	AQ0MS0	malo
perillan	perillán	NCMS000	perillán
	.	Fp	.
y	Y	CC	y
	,	Fc	,
dicha	dicha	VMP00SF	decir
missa	misa	NCFS000	misa
	,	Fc	,
me	me	PP1CS000	me
dejaron	dejaron	VMIS3P0	dejar
y	y	CC	y
senti	sentí	VMIS1S0	sentir
un	un	DI0MS0	uno
caimiento	caimiento	NCMS000	caimiento
de	de	SPS00	de
fuerzas	fuerzas	NCFP000	fuerza
q	que	CS	que
cassi	casi	RG	casi
se	se	P00CN000	se
me	me	PP1CS000	me
ofrecia	ofrecía	VMII0S0	ofrecer
el	el	DA0MS0	el
morirme	morirme	VMN0000+PP1CS000	morir+me
	.	Fp	.
esto	Esto	PD0NN000	esto
se	se	P00CN000	se
templo	templó	VMIS3S0	templar
y	y	CC	y
viendo	viendo	VMG0000	ver
lo	lo	DA0NS0	el
q	que	PR0CN000	que
el	el	DA0MS0	el
sr	Señor	NP00000	señor
hace	hace	VMIP3S0	hacer
conmigo	conmigo	SPS00+PP1CSO00	con+mí
me	me	PP1CS000	me
corro	corro	VMIP1S0	correr
y	y	CC	y
no	no	RN	no
quiero	quiero	VMIP1S0	querer
	,	Fc	,
q	que	CS	que
no	no	RN	no
valgo	valgo	VMIP1S0	valer
un	un	DI0MS0	uno
bledo	bledo	NCMS000	bledo
	.	Fp	.
el	El	DA0MS0	el
aver	haber	VMN0000	haber
de	de	SPS00	de
referir	referir	VMN0000	referir
el	el	DA0MS0	el
sucesso	suceso	NCMS000	suceso
q	que	PR0CN000	que
obro	obró	VMIS3S0	obrar
el	el	DA0MS0	el
sr	Señor	NP00000	señor
por	por	SPS00	por
medio	medio	NCMS000	medio
de	de	SPS00	de
mi	mi	DP1CSS	mi
sa	santa	AQ0FS0	santo
es	es	VSIP3S0	ser
cuento	cuento	NCMS000	cuento
muy	muy	RQ	muy
largo	largo	RG	largo
	.	Fp	.
tu	Tú	PP2CSN00	tú
	,	Fc	,
q	que	CS	que
fuiste	fuiste	VSIS2S0	ser
testigo	testigo	NCCS000	testigo
	,	Fc	,
lo	lo	PP3CNA00	lo
escribiras	escribirás	VMIF2S0	escribir
y	y	CC	y
me	me	PP1CS000	me
lo	lo	PP3CNA00	lo
embiaras	enviarás	VMIF2S0	enviar
	;	Fx	;
y	y	CC	y
esto	esto	PD0NN000	esto
es	es	VSIP3S0	ser
y	y	CC	y
sera	será	VSIF3S0	ser
llebarme	llevarme	VMN0000+PP1CS000	llevar+me
a	a	SPS00	a
cuestas	cuestas	NCFP000	cuesta
	.	Fp	.
mi	Mi	DP1CSS	mi
Me	madre	NCFS000	madre
y	y	CC	y
sa	santa	AQ0FS0	santo
enfermera	enfermera	NCFS000	enfermero
me	me	PP1CS000	me
a	ha	VAIP3S0	haber
visitado	visitado	VMP0000	visitar
y	y	CC	y
me	me	PP1CS000	me
dice	dice	VMIP3S0	decir
q	que	CS	que
falta	falta	VMIP3S0	faltar
q	que	CS	que
padecer	padecer	VMN0000	padecer
	,	Fc	,
aunq	aunque	CS	aunque
siempre	siempre	RG	siempre
sera	será	VSIF3S0	ser
como	como	CS	como
venido	venido	VMP00SM	venir
de	de	SPS00	de
su	su	DP3CS0	su
mano	mano	NCFS000	mano
	.	Fp	.
de	de	SPS00	de
mi	mi	DP1CSS	mi
santa	santa	AQ0FS0	santo
lo	lo	PP3CNA00	lo
escribiras	escribirás	VMIF2S0	escribir
	.	Fp	.
buenas	Buenas	AQ0FP0	bueno
visitas	visitas	NCFP000	visita
me	me	PP1CS000	me
aveys	habéis	VAIP2P0	haber
hecho	hecho	VMP0000	hacer
	.	Fp	.
dios	Dios	NP00000	dios
os	os	PP2CP000	os
lo	lo	PP3CNA00	lo
pague	pague	VMSP0S0	pagar
	,	Fc	,
q	que	CS	que
la	la	DA0FS0	el
del	del	SPS00+DA0MS0	de+el
viernes	viernes	NCMN000	viernes
passado	pasado	VMP00SM	pasar
fue	fue	VSIS3S0	ser
mas	más	RC	más
q	que	CS	que
cumplida	cumplida	VMP00SF	cumplir
	.	Fp	.
aunq	Aunque	CC	aunque
algunas	algunas	DI0FP0	alguno
veces	veces	NCFP000	vez
se	se	P00CN000	se
van	van	VMIP3P0	ir
todos	todos	PI0MP000	todo
y	y	CC	y
se	se	P00CN000	se
queda	queda	VMIP3S0	quedar
un	un	DI0MS0	uno
hombre	hombre	NCMS000	hombre
a	a	SPS00	a
oscuras	oscuras	AQ0FP0	oscuro
y	y	CC	y
sin	sin	SPS00	sin
candil	candil	NCMS000	candil
	,	Fc	,
todo	todo	PI0MS000	todo
debe	debe	VMIP3S0	deber
de	de	SPS00	de
ser	ser	VSN0000	ser
descuento	descuento	NCMS000	descuento
	.	Fp	.
y	Y	CC	y
yo	yo	PP1CSN00	yo
quiero	quiero	VMIP1S0	querer
lo	lo	DA0NS0	el
que	que	PR0CN000	que
quiere	quiere	VMIP3S0	querer
el	el	DA0MS0	el
sr	señor	NP00000	señor
contador	contador	NCMS000	contador
mayor	mayor	AQ0CS0	mayor
	.	Fp	.
su	Su	DP3CS0	su
dia	día	NCMS000	día
de	de	SPS00	de
nacimiento	nacimiento	NCMS000	nacimiento
me	me	PP1CS000	me
hizo	hizo	VMIS3S0	hacer
mucha	mucha	DI0FS0	mucho
compañia	compañía	NCFS000	compañía
y	y	CC	y
assi	así	RG	así
es	es	VSIP3S0	ser
razon	razón	NCFS000	razón
q	que	CS	que
pague	pague	VMSP0S0	pagar
lo	lo	DA0NS0	el
de	de	SPS00	de
la	la	DA0FS0	el
nochebuena	Nochebuena	NP00000	nochebuena
	.	Fp	.
fue	Fue	VMIS3S0	ir
tambien	también	RG	también
admirable	admirable	SPS00	admirable
plato	plato	NCMS000	plato
	.	Fp	.
no	No	RN	no
tengo	tengo	VMIP1S0	tener
palabras	palabras	NCFP000	palabra
con	con	SPS00	con
q	que	CS	que
explicarme	explicarme	VMN0000+PP1CS000	explicar+me
	.	Fp	.
solo	Sólo	RG	sólo
digo	digo	VMIP1S0	decir
q	que	CS	que
solo	sólo	RG	sólo
dios	Dios	NP00000	dios
puede	puede	VMIP3S0	poder
decir	decir	VMN0000	decir
su	su	DP3CS0	su
grandeza	grandeza	NCFS000	grandeza
y	y	CC	y
misericordias	misericordias	NCFP000	misericordia
	,	Fc	,
y	y	CC	y
el	el	DA0MS0	el
alma	alma	NCFS000	alma
para	para	SPS00	para
si	sí	RG	sí
lo	lo	PP3CNA00	lo
entiende	entiende	VMIP3S0	entender
y	y	CC	y
lo	lo	PP3CNA00	lo
ignora	ignora	VMIP3S0	ignorar
para	para	SPS00	para
q	que	CS	que
salga	salga	VMSP0S0	salir
de	de	SPS00	de
su	su	DP3CS0	su
pecho	pecho	NCMS000	pecho
.	.	Fp	.
Nto	Nuestro	DP1MSP	nuestro
Ysidro	Isidro	NP00000	isidro
esta	está	VMIP3S0	estar
con	con	SPS00	con
grande	grande	AQ0CS0	grande
cruz	cruz	NCFS000	cruz
y	y	CC	y
temor	temor	NCMS000	temor
de	de	SPS00	de
entrar	entrar	VMN0000	entrar
en	en	SPS00	en
esta	esta	DD0FS0	este
ocupacion	ocupación	NCFS000	ocupación
	,	Fc	,
porque	porque	CS	porque
no	no	RN	no
quisiera	quisiera	VMSI0S0	querer
fuera	fuera	VSSI0S0	ser
causa	causa	NCFS000	causa
de	de	SPS00	de
quitarle	quitarle	VMN0000+PP3CSD00	quitar+le
su	su	DP3CS0	su
retiro	retiro	VMIP1S0	retirar
y	y	CC	y
desnudez	desnudez	NCFS000	desnudez
con	con	SPS00	con
q	que	CS	que
oy	hoy	RG	hoy
se	se	P00CN000	se
halla	halla	VMIP3S0	hallar
	.	Fp	.
conq	Conque	CS	conque
yo	yo	PP1CSN00	yo
le	le	PP3CSD00	le
aseguro	aseguro	VMIP1S0	asegurar
q	que	CS	que
conviene	conviene	VMIP3S0	convenir
estar	estar	VMN0000	estar
(	(	Fba	(
y	y	CC	y
siempre	siempre	RG	siempre
lo	lo	PP3CNA00	lo
a	ha	VAIP3S0	haber
tenido	tenido	VMP0000	tener
)	)	Fbt	)
con	con	SPS00	con
cuidado	cuidado	NCMS000	cuidado
en	en	SPS00	en
los	los	DA0MP0	el
precios	precios	NCMP000	precio
de	de	SPS00	de
lo	lo	DA0NS0	el
q	que	PR0CN000	que
vende	vende	VMIP3S0	vender
	,	Fc	,
porq	porque	CS	porque
nunca	nunca	RN	nunca
va	va	VMIP3S0	ir
por	por	SPS00	por
los	los	DA0MP0	el
altos	altos	AQ0MP0	alto
	.	Fp	.
y	Y	CC	y
a	ha	VAIP3S0	haber
avido	habido	VMP0000	haber
ocassiones	ocasiones	NCFP000	ocasión
en	en	SPS00	en
q	que	CS	que
a	a	SPS00	a
el	el	DA0MS0	el
mismo	mismo	AQ0MS0	mismo
precio	precio	NCMS000	precio
no	no	RN	no
lo	lo	PP3CNA00	lo
quieren	quieren	VMIP3P0	querer
sino	sino	CC	sino
de	de	SPS00	de
su	su	DP3CS0	su
cassa	casa	NCFS000	casa
	,	Fc	,
porq	porque	CS	porque
es	es	VSIP3S0	ser
mejor	mejor	AQ0CS0	mejor
labor	labor	NCFS000	labor
y	y	CC	y
mas	más	RC	más
a	a	SPS00	a
conciencia	conciencia	NCFS000	conciencia
;	.	Fp	.
de	De	SPS00	de
la	la	DA0FS0	el
mano	mano	NCFS000	mano
le	le	PP3CSD00	le
llebas	llevas	VMIP2S0	llevar
cuidado	cuidado	NCMS000	cuidado
	,	Fc	,
me	me	PP1CS000	me
llamo	llamó	VMIS3S0	llamar
y	y	CC	y
yo	yo	PP1CSN00	yo
pagos	pagos	X	x
.	.	Fp	.
esta	Ésta	PD0FS000	este
escribo	escribo	VMIP1S0	escribir
antes	antes	RG	antes
de	de	SPS00	de
recibir	recibir	VMN0000	recibir
carta	carta	NCFS000	carta
tuya	tuya	PX2FS0S0	tuyo
.	.	Fc	,
daras	Darás	VMIF2S0	dar
mis	mis	DP1CPS	mi
memorias	memorias	NCFP000	memoria
a	a	SPS00	a
Petrona	Petrona	NP00000	petrona
y	y	CC	y
Paulilla	Paulilla	NP00000	paulilla
	,	Fc	,
y	y	CC	y
el	el	DA0MS0	el
sr	Señor	NP00000	señor
os	os	PP2CP000	os
aya	haya	VASP0S0	haber
dado	dado	VMP0000	dar
muy	muy	RQ	muy
buenas	buenas	AQ0FP0	bueno
entradas	entradas	NCFP000	entrada
de	de	SPS00	de
años	años	NCMP000	año
	.	Fp	.
yo	Yo	PP1CSN00	yo
quedo	quedo	VMIP1S0	quedar
endeble	endeble	AQ0CS0	endeble
y	y	CC	y
como	como	CS	como
sea	sea	VSSP0S0	ser
a	a	SPS00	a
el	el	DA0MS0	el
gusto	gusto	NCMS000	gusto
de	de	SPS00	de
dios	Dios	NP00000	dios
	,	Fc	,
lo	lo	DA0NS0	el
q	que	PR0CN000	que
quisiere	quisiere	VMSF0S0	querer
	.	Fp	.
toledo	Toledo	NP00000	toledo
	,	Fc	,
eno	enero	NCMS000	enero
3	3	Z	3
de	de	SPS00	de
1708	1708	Z	1708
siervo	Siervo	NCMS000	siervo
y	y	CC	y
Amigo	amigo	NP00000	amigo
q	que	CS	que
te	te	PP2CS000	te
ama	ama	VMIP3S0	amar
mucho	mucho	RQ	mucho
en	en	SPS00	en
xpo	XPO	NP00000	xpo
	,	Fc	,
fr	fray	NP00000	fray
Manuel	Manuel	NP00000	manuel
de	de	SPS00	de
Sta	Santa	NP00000	santo
Leocadia	Leocadia	NP00000	leocadia
hijo	Hijo	NP00000	hijo
querido	querido	VMP00SM	querer
de	de	SPS00	de
mi	mi	DP1CSS	mi
alma	alma	NCFS000	alma
	.	Fp	.
