Meu	Meu		
quero	quero	VMIP1S0	querer
pa	para	SPS00	para
fichar	fechar	VMN0000	fechar
as	as	DA0FP0	o
cartas	cartas	NCFP000	o
pa	para	SPS00	para
ti	ti	PP2CSO00	ti
	,	Fc	,
pois	pois	CS	pois
reseio	receio	VMIP1S0	recear
que	que	CS	que
mas	mas	PP1CS000+PP3FPA00	me+o
abram	abram	VMSP3P0	abrir
	.	Fp	.
adeos	Adeus	I	adeus
	,	Fc	,
pasa	passa	VMM02S0	passar
mto	muito	RQ	muito
bem	bem	RG	bem
	.	Fp	.
Desta	Desta	Fp	.
que	que	Fp	.
deveras	deveras	Fp	.
te	te	Fp	.
quer	quer	Fp	.
	,	Fp	.
Maria	Maria	Fp	.
