mala	Mala	AQ0FS0	malo
me	me	PP1CS000	me
andare	andaré	VMIF1S0	andar
a	a	SPS00	a
caça	caza	NCFS000	caza
de	de	SPS00	de
mis	mis	DP1CPS	mi
enemigos	enemigos	NCMP000	enemigo
con	con	SPS00	con
Raçon	razón	NCFS000	razón
	,	Fc	,
pues	pues	CS	pues
q	que	CS	que
todos	todos	PI0MP000	todo
me	me	PP1CS000	me
abeis	habéis	VAIP2P0	haber
qitado	quitado	VMP0000	quitar
la	la	DA0FS0	el
onRa	honra	NCFS000	honra
	,	Fc	,
ansi	así	RG	así
por	por	SPS00	por
gustiçia	justicia	NCFS000	justicia
	,	Fc	,
con	con	SPS00	con
falsas	falsas	AQ0FP0	falso
aqsaciones	acusaciones	NCFP000	acusación
	,	Fc	,
como	como	CS	como
por	por	SPS00	por
bos	vos	PP2CS000	vos
aberos	haberos	VAN0000+PP2CP000	haber+os
cabalgado	cabalgado	VMP0000	cabalgar
con	con	SPS00	con
qien	quien	PR0CS000	quien
os	os	PP2CP000	os
a	ha	VAIP3S0	haber
paresçido	parecido	VMP0000	parecer
y	y	CC	y
con	con	SPS00	con
los	los	DA0MP0	el
maiores	mayores	AQ0CP0	mayor
amigos	amigos	NCMP000	amigo
q	que	PR0CN000	que
a	a	SPS00	a
mi	mí	PP1CSO00	mí
me	me	PP1CS000	me
finjian	fingían	VMII3P0	fingir
sello	serlo	VSN0000+PP3CNA00	ser+lo
	.	Fp	.
al	Al	SPS00+DA0MS0	a+el
fin	fin	NCMS000	fin
yo	yo	PP1CSN00	yo
no	no	RN	no
tengo	tengo	VMIP1S0	tener
onRa	honra	NCFS000	honra
porq	porque	CS	porque
bos	vos	PP2CS000	vos
me	me	PP1CS000	me
la	la	PP3FSA00	lo
abeis	habéis	VAIP2P0	haber
qitado	quitado	VMP0000	quitar
por	por	SPS00	por
Justicia	justicia	NCFS000	justicia
	,	Fc	,
con	con	SPS00	con
falsas	falsas	AQ0FP0	falso
acusaçiones	acusaciones	NCFP000	acusación
	,	Fc	,
y	y	CC	y
por	por	SPS00	por
buesa	vuestra	DP2FSP	vuestro
persona	persona	NCFS000	persona
	,	Fc	,
siendo	siendo	VSG0000	ser
puta	puta	NCFS000	puta
publica	pública	AQ0FS0	público
	,	Fc	,
desonRandos	deshonrándoos	VMG0000+PP2CP000	deshonrar+os
a	a	SPS00	a
bos	vos	PP2CS000	vos
y	y	CC	y
a	a	SPS00	a
mi	mí	PP1CSO00	mí
y	y	CC	y
a	a	SPS00	a
todos	todos	DI0MP0	todo
vuestros	vuestros	DP2MPP	vuestro
parintes	parientes	NCMP000	pariente
	,	Fc	,
pues	pues	CS	pues
q	que	CS	que
ninguno	ninguno	PI0MS00N	ninguno
trata	trata	VMIP3S0	tratar
con	con	SPS00	con
bos	vos	PP2CS000	vos
	.	Fp	.
no	No	RN	no
tengo	tengo	VMIP1S0	tener
mas	más	RC	más
q	que	PR0CN000	que
deçir	decir	VMN0000	decir
	,	Fc	,
sino	sino	CC	sino
qe	que	CS	que
la	la	DA0FS0	el
cara	cara	NCFS000	cara
q	que	PR0CN000	que
por	por	SPS00	por
pbos	vos	PP2CS000	vos
a	ha	VAIP3S0	haber
sido	sido	VSP0000	ser
abergoncada	avergonzada	VMP00SF	avergonzar
sera	será	VSIF3S0	ser
labada	lavada	VMP00SF	lavar
con	con	SPS00	con
buesa	vuestra	DP2FSP	vuestro
propia	propia	AQ0FS0	propio
sangre	sangre	NCFS000	sangre
	.	Fp	.
y	Y	CC	y
bueso	vuestro	DP2MSP	vuestro
coraçon	corazón	NCMS000	corazón
por	por	SPS00	por
mis	mis	DP1CPS	mi
manos	manos	NCFP000	mano
os	os	PP2CP000	os
le	le	PP3CSA00	le
sacare	sacaré	VMIF1S0	sacar
y	y	CC	y
le	le	PP3CSA00	le
echare	echaré	VMIF1S0	echar
a	a	SPS00	a
un	un	DI0MS0	uno
perro	perro	NCMS000	perro
q	que	PR0CN000	que
lo	lo	PP3MSA00	lo
coma	coma	VMSP0S0	comer
	.	Fp	.
y	Y	CC	y
dios	Dios	NP00000	dios
entiendo	entiendo	VMIP1S0	entender
me	me	PP1CS000	me
aiudara	ayudará	VMIF3S0	ayudar
por	por	SPS00	por
la	la	DA0FS0	el
Racon	razón	NCFS000	razón
q	que	PR0CN000	que
me	me	PP1CS000	me
sobra	sobra	VMIP3S0	sobrar
	.	Fp	.
y	Y	CC	y
la	la	DA0FS0	el
casa	casa	NCFS000	casa
donde	donde	PA000000	donde
os	os	PP2CP000	os
hallare	hallare	VMSF0S0	hallar
no	no	RN	no
me	me	PP1CS000	me
qdara	quedará	VMIF3S0	quedar
cosa	cosa	NCFS000	cosa
biba	viva	AQ0FS0	vivo
	.	Fp	.
y	Y	CC	y
luego	luego	RG	luego
me	me	PP1CS000	me
dejare	dejaré	VMIF1S0	dejar
prender	prender	VMN0000	prender
para	para	SPS00	para
pagar	pagar	VMN0000	pagar
en	en	SPS00	en
este	este	DD0MS0	este
mundo	mundo	NCMS000	mundo
	,	Fc	,
porq	porque	CS	porque
qien	quien	PR0CS000	quien
no	no	RN	no
tiene	tiene	VMIP3S0	tener
onRa	honra	NCFS000	honra
no	no	RN	no
a	ha	VMIP3S0	haber
menester	menester	NCMS000	menester
bida	vida	NCFS000	vida
ni	ni	CCN	ni
la	la	PP3FSA00	lo
qiero	quiero	VMIP1S0	querer
aunq	aunque	CS	aunque
la	la	PP3FSA00	lo
pudiese	pudiese	VMSI0S0	poder
tener	tener	VMN0000	tener
	.	Fp	.
y	Y	CC	y
esto	esto	PD0NN000	esto
lo	lo	PP3CNA00	lo
digo	digo	VMIP1S0	decir
porq	porque	CS	porque
lo	lo	PP3CNA00	lo
tengo	tengo	VMIP1S0	tener
de	de	SPS00	de
haçer	hacer	VMN0000	hacer
	,	Fc	,
aunq	aunque	CS	aunque
se	sé	VMIP1S0	saber
q	que	CS	que
direis	diréis	VMIF2P0	decir
q	que	CS	que
qien	quien	PR0CS000	quien
ladra	ladra	VMIP3S0	ladrar
no	no	RN	no
muerde	muerde	VMIP3S0	morder
	;	Fx	;
mas	mas	CC	mas
y	yo	PP1CSN00	yo
os	os	PP2CP000	os
prometo	prometo	VMIP1S0	prometer
como	como	SPS00	como
yjodalgo	hijodalgo	NCMS000	hijodalgo
de	de	SPS00	de
ladrar	ladrar	VMN0000	ladrar
y	y	CC	y
morder	morder	VMN0000	morder
y	y	CC	y
morir	morir	VMN0000	morir
	,	Fc	,
porq	porque	CS	porque
morir	morir	VMN0000	morir
en	en	SPS00	en
poder	poder	NCMS000	poder
de	de	SPS00	de
moros	moros	NCMP000	moro
y	y	CC	y
morir	morir	VMN0000	morir
en	en	SPS00	en
la	la	DA0FS0	el
horca	horca	NCFS000	horca
todo	todo	PI0MS000	todo
es	es	VSIP3S0	ser
morir	morir	VMN0000	morir
	.	Fp	.
y	Y	CC	y
con	con	SPS00	con
esto	esto	PD0NN000	esto
çeso	ceso	VMIP1S0	cesar
y	y	CC	y
Remato	remato	VMIP1S0	rematar
las	las	DA0FP0	el
trabaquentas	trabacuentas	NCFP000	trabacuenta
q	que	PR0CN000	que
entre	entre	SPS00	entre
bos	vos	PP2CS000	vos
y	y	CC	y
mi	mí	PP1CSO00	mí
ai	hay	VMIP3S0	haber
	.	Fp	.
el	El	DA0MS0	el
mui	muy	RQ	muy
cornudo	cornudo	AQ0MS0	cornudo
y	y	CC	y
afrentado	afrentado	VMP00SM	afrentar
por	por	SPS00	por
tener	tener	VMN0000	tener
la	la	DA0FS0	el
mas	más	RC	más
mala	mala	AQ0FS0	malo
mujer	mujer	NCFS000	mujer
q	que	PR0CN000	que
ai	hay	VMIP3S0	haber
n	en	SPS00	en
el	el	DA0MS0	el
mundo	mundo	NCMS000	mundo
	,	Fc	,
andres	Andrés	NP00000	andrés
de	de	SPS00	de
çepeda	Cepeda	NP00000	cepeda
negrete	Negrete	NP00000	negrete
