esta	Esta	PD0FS000	este
agora	agora	RG	agora
aos	aos	SPS00+DA0MP0	a+o
ministros	ministros	NCMP000	ministro
e	e	CC	e
ao	ao	SPS00+DA0MS0	a+o
Regedor	regedor	NCMS000	regedor
	,	Fc	,
q	que	PR0CN000	que
inda	inda	RG	inda
he	é	VSIP3S0	ser
o	o	DA0MS0	o
mesmo	mesmo	AQ0MS0	mesmo
	,	Fc	,
e	e	CC	e
a	a	SPS00	a
el Rey	El-Rei	NP00000	el-rei
	.	Fp	.
e	E	CC	e
Com	com	SPS00	com
o	o	DA0MS0	o
do	do	SPS00+DA0MS0	de+o
seversios	seversios	X	x
	,	Fc	,
mais	mais	RC	mais
depreça	depressa	RG	depressa
o	o	DA0MS0	o
q	que	PR0CN000	que
elle	ele	PP3MS000	ele
ten	tem	VMIP3S0	ter
perde	perde	VMIP3S0	perder
	,	Fc	,
porq	porque	CS	porque
a	a	DA0FS0	o
Condeça	condessa	NCFS000	o
Com	com	SPS00	com
grande	grande	AQ0CS0	grande
vontade	vontade	NCFS000	vontade
e	e	CC	e
hoje	hoje	RG	hoje
pode	pode	VMIP3S0	poder
mais	mais	RC	mais
q	que	CS	que
ninguem	ninguém	PI0NN00N	ninguém
	.	Fp	.
negco	Negócio	NCMS000	negócio
dela	dela	SPS00+PP3FS000	de+ele
me	me	PP1CS000	me
dá	dá	VMIP3S0	dar
grandesimo	grandíssimo	AQSMS0	grande
Cudado	cuidado	NCMS000	cuidado
por	por	SPS00	por
sertas	certas	AQ0FP0	certo
Rezois	rezões	NCMP000	rezão
q	que	PR0CN000	que
aCho	acho	VMIP1S0	achar
eu	eu	PP1CSN00	eu
	.	Fp	.
de	De	SPS00	de
tudo	tudo	PI0NN000	tudo
o	o	DA0MS0	o
avizo	aviso	NCMS000	aviso
	,	Fc	,
e	e	CC	e
dos	dos	SPS00+DA0MP0	de+o
mais	mais	RC	mais
negcos	negócios	NCMP000	negócio
q	que	CS	que
a	à	SPS00+DA0FS0	a+o
vista	vista	NCFS000	vista
destes	destes	SPS00+DD0MP0	de+este
parese	parece	VMIP3S0	parecer
vergonha	vergonha	NCFS000	vergonha
falar	falar	VMN0000	falar
neles	neles	SPS00+PP3MP000	em+ele
	,	Fc	,
nem	nem	CCN	nem
em	em	SPS00	em
Couza	coisa	NCFS000	coisa
alguã	alguma	DI0FS0	algum
	.	Fp	.
porem	Porém	RG	porém
	,	Fc	,
em	em	SPS00	em
tudo	tudo	PI0NN000	tudo
feito	feito	VMP00SM	fazer
e	e	CC	e
de	de	SPS00	de
tudo	tudo	PI0NN000	tudo
o	o	PP3MSA00	o
tenho	tenho	VAIP1S0	ter
avizado	avisado	VMP0000	avisar
	.	Fp	.
por	Por	SPS00	por
elle	ele	PP3MS000	ele
asem	assim	RG	assim
o	o	PP3MSA00	o
querer	querer	VMN0000	querer
	,	Fc	,
bem	bem	RG	bem
pudera	poderá	VMIF3S0	poder
elle	ele	PP3MS000	ele
seguir	seguir	VMN0000	seguir
o	o	DA0MS0	o
mesmo	mesmo	AQ0MS0	mesmo
q	que	PR0CN000	que
seguiu	seguiu	VMIS3S0	seguir
o	o	DA0MS0	o
Conde	Conde	NP00000	conde
de	de	SPS00	de
Castel melhor	Castelo Melhor	NP00000	castelo melhor
nos	nos	SPS00+DA0MP0	em+o
seos	seus	DP3MP0	seu
trabalhos	trabalhos	NCMP000	trabalho
q	que	CS	que
nimguem	ninguém	PI0NN00N	ninguém
	.	Fp	.
hera	Era	VSII0S0	ser
mais	mais	RC	mais
podrozo	poderoso	AQ0MS0	poderoso
nem	nem	CCN	nem
mais	mais	RC	mais
Rico	rico	AQ0MS0	rico
e	e	CC	e
tangia	tangia	VMII0S0	tanger
burros	burros	NCMP000	burro
na	na	SPS00+DA0FS0	em+o
estrada	estrada	NCFS000	estrada
e	e	CC	e
Comia	comia	VMII0S0	comer
Com	com	SPS00	com
aRieiros	arrieiros	NCMP000	arrieiro
	,	Fc	,
e	e	CC	e
asem	assim	RG	assim
venseu	venceu	VMIS3S0	vencer
tantas	tantas	DI0FP0	tanto
defeculdades	dificuldades	NCFP000	dificuldade
	.	Fp	.
e	E	CC	e
tudo	tudo	PI0NN000	tudo
mais	mais	RC	mais
he	é	VSIP3S0	ser
herro	erro	NCMS000	erro
Conhesido	conhecido	VMP00SM	conhecer
e	e	CC	e
sem	sem	SPS00	sem
desCulpa	desculpa	NCFS000	desculpa
pelo	pelo	SPS00+DA0MS0	por+o
almocreve	almocreve	NCMS000	almocreve
e	e	CC	e
a	a	SPS00	a
meu	meu	DP1MSS	meu
tio	tio	NCMS000	tio
e	e	CC	e
ao	ao	SPS00+DA0MS0	a+o
sogeito	sujeito	NCMS000	sujeito
q	que	PR0CN000	que
fiquava	ficava	VMII0S0	ficar
Com	com	SPS00	com
Devida	dívida	NCFS000	dívida
de	de	SPS00	de
treze	treze	Z	treze
reis	réis	NCMP000	real
ao	ao	SPS00+DA0MS0	a+o
pe	padre	NP00000	padre
Anto	António	NP00000	antónio
de	de	SPS00	de
faria	Faria	NP00000	faria
	.	Fp	.
de	De	SPS00	de
Resto	resto	NCMS000	resto
	,	Fc	,
do	do	SPS00+DA0MS0	de+o
vistido	vestido	NCMS000	vestido
	,	Fc	,
e	e	CC	e
q	que	CS	que
fiquava	ficava	VMII0S0	ficar
Com	com	SPS00	com
ele	ele	PP3MS000	ele
pa	para	SPS00	para
gastar	gastar	VMN0000	gastar
no	no	SPS00+DA0MS0	em+o
q	que	PR0CN000	que
me	me	PP1CS000	me
fose	fosse	VSSI0S0	ser
nesesario	necessário	AQ0MS0	necessário
	,	Fc	,
pa	para	SPS00	para
q	que	CS	que
me	me	PP1CS000	me
Remetesem	remetessem	VMSI3P0	remeter
esa	essa	DD0FS0	esse
quantia	quantia	NCFS000	esse
	,	Fc	,
pois	pois	CS	pois
eu	eu	PP1CSN00	eu
a	a	PP3FSA00	o
não	não	RN	não
tenho	tenho	VMIP1S0	ter
	,	Fc	,
nem	nem	CCN	nem
pa	para	SPS00	para
me	me	PP1CS000	me
Retirar	retirar	VMN0000	retirar
disto	disto	SPS00+PD0NN000	de+isto
	,	Fc	,
nem	nem	CCN	nem
Reposta	resposta	NCFS000	resposta
	,	Fc	,
nem	nem	CCN	nem
vi	vi	VMIS1S0	ver
mais	mais	RC	mais
Carta	carta	NCFS000	carta
de	de	SPS00	de
nenhum	nenhum	PI0MS00N	nenhum
delles	deles	SPS00+PP3MP000	de+ele
	.	Fp	.
adevirta	Advirta	VMSP0S0	advertir
isto	isto	PD0NN000	isto
a	a	SPS00	a
meu	meu	DP1MSS	meu
tio	tio	NCMS000	tio
	,	Fc	,
pa	para	SPS00	para
q	que	CS	que
o	o	PP3MSA00	o
avize	avise	VMSP0S0	avisar
	,	Fc	,
porq	porque	CS	porque
não	não	RN	não
he	é	VSIP3S0	ser
visto	visto	VMP00SM	ver
q	que	CS	que
me	me	PP1CS000	me
va	vá	VMSP0S0	ir
sem	sem	SPS00	sem
satisfazer	satisfazer	VMN0000	satisfazer
a	a	SPS00	a
este	este	DD0MS0	este
Clerigo	clérigo	NCMS000	clérigo
	,	Fc	,
q	que	PR0CN000	que
Com	com	SPS00	com
tanta	tanta	DI0FS0	tanto
vontade	vontade	NCFS000	vontade
me	me	PP1CS000	me
serviu	serviu	VMIS3S0	servir
e	e	CC	e
teve	teve	VMIS3S0	ter
em	em	SPS00	em
sua	sua	DP3FS0	seu
Caza	casa	NCFS000	casa
Coatro	quatro	Z	quatro
dias	dias	NCMP000	dia
,	.	NCMP000	dia
Vm	VM	NP00000	VM
Logo	logo	RG	logo
	,	Fc	,
Logo	logo	RG	logo
	,	Fc	,
sem	sem	SPS00	sem
demora	demora	NCFS000	demora
	,	Fc	,
mande	mande	VMSP0S0	mandar
este	este	DD0MS0	este
avizo	aviso	NCMS000	aviso
pa	para	SPS00	para
ir	ir	VMN0000	ir
pa	para	SPS00	para
o	o	DA0MS0	o
porto	Porto	NP00000	porto
	.	Fp	.
qdo	Quando	CS	quando
não	não	RN	não
	,	Fc	,
saiba	saiba	VMSP0S0	saber
q	que	CS	que
estamos	estamos	VMIP1P0	estar
perdidos	perdidos	VMP00PM	perder
	.	Fp	.
e	E	CC	e
he	é	VSIP3S0	ser
o	o	DA0MS0	o
q	que	PR0CN000	que
poso	posso	VMIP1S0	poder
dizer	dizer	VMN0000	dizer
	.	Fp	.
de	De	SPS00	de
Do	Diogo	NP00000	diogo
não	não	RN	não
tive	tive	VMIS1S0	ter
novas	novas	NCFP000	nova
	,	Fc	,
Vm	VM	NP00000	VM
mas	mas	PP1CS000+PP3FPA00	me+o
de	dê	VMSP0S0	dar
e	e	CC	e
lhe	lhe	PP3CSD00	lhe
mande	mande	VMSP0S0	mandar
dizer	dizer	VMN0000	dizer
me	me	PP1CS000	me
avize	avise	VMSP0S0	avisar
Logo	logo	RG	logo
de	de	SPS00	de
q	que	PR0CN000	que
quer	quer	VMIP3S0	querer
do	do	SPS00+DA0MS0	de+o
Reitor	reitor	NCMS000	reitor
	.	Fp	.
eu	Eu	PP1CSN00	eu
lhe	lhe	PP3CSD00	lhe
esCrevi	escrevi	VMIS1S0	escrever
o	o	DA0MS0	o
Correio	correio	NCMS000	correio
paçado	passado	VMP00SM	passar
	,	Fc	,
mas	mas	CC	mas
inda	ainda	RG	ainda
não	não	RN	não
vi	vi	VMIS1S0	ver
Reposta	resposta	NCFS000	resposta
	.	Fp	.
e	E	CC	e
saiba	saiba	VMSP0S0	saber
delle	dele	SPS00+PP3MS000	de+ele
	.	Fp	.
se	Se	CS	se
os	os	DA0MP0	o
servisos	serviços	NCMP000	serviço
de	de	SPS00	de
meu	meu	DP1MSS	meu
tio	tio	NCMS000	tio
de	de	SPS00	de
angola	Angola	NP00000	angola
fo	fo	X	x
C.	C.	X	x
	,	Fc	,
vai	vai	VMIP3S0	ir
esa	essa	DD0FS0	esse
Carta	carta	NCFS000	carta
de	de	SPS00	de
meu	meu	DP1MSS	meu
tio	tio	NCMS000	tio
	,	Fc	,
q	que	PR0CN000	que
veyo	veio	VMIS3S0	vir
pa	para	SPS00	para
o	o	DA0MS0	o
Carvalho	Carvalho	NP00000	carvalho
	,	Fc	,
pa	para	SPS00	para
Vm	VM	NP00000	VM
ver	ver	VMN0000	ver
o	o	DA0MS0	o
q	que	PR0CN000	que
elle	ele	PP3MS000	ele
dis	diz	VMIP3S0	dizer
aserqua	acerca	RG	acerca
de	de	SPS00	de
	,	Fc	,
de	de	SPS00	de
quem	quem	PR0CN000	quem
não	não	RN	não
tenho	tenho	VMIP1S0	ter
outras	outras	DI0FP0	outro
notecias	notícias	NCFP000	notícia
	.	Fp	.
das	Das	SPS00+DA0FP0	de+o
Cortes	cortes	NCFP000	corte
não	não	RN	não
tenho	tenho	VMIP1S0	ter
tenpo	tempo	NCMS000	tempo
pera	para	SPS00	para
dizer	dizer	VMN0000	dizer
nada	nada	PI0NN00N	nada
	,	Fc	,
porem	porém	RG	porém
so	só	RF	só
digo	digo	VMIP1S0	dizer
q	que	CS	que
	,	Fc	,
deos	Deus	NP00000	deus
quizer	quiser	VMSF0S0	deus
	,	Fc	,
q	que	CS	que
seja	seja	VSSP0S0	ser
a	a	DA0FS0	o
lus	luz	NCFS000	o
o	o	DA0MS0	o
q	que	PR0CN000	que
esta	está	VMIP3S0	estar
detreminado	determinado	VMP00SM	determinar
nelas	nelas	SPS00+PP3FP000	em+ele
	.	Fp	.
bem	Bem	RG	bem
pode	pode	VMIP3S0	poder
dizer	dizer	VMN0000	dizer
portugual	Portugal	NP00000	portugal
q	que	CS	que
foram	foram	VSIS3P0	ser
de	de	SPS00	de
todos	todos	DI0MP0	todo
pelo	pelo	SPS00+DA0MS0	por+o
espreto	Espírito	NP00000	espírito
santo	Santo	NP00000	santo
	.	Fp	.
