as	As	DA0FP0	o
tromento	tormento	NCMS000	tormento
	,	Fc	,
q	que	CS	que
lhe	lhe	PP3CSD00	lhe
respondeu	respondeu	VMIS3S0	responder
q	que	CS	que
ouvião	ouviam	VMII3P0	ouvir
seu	seu	DP3MS0	seu
irmão	irmão	NCMS000	irmão
ate	até	SPS00	até
q	que	CS	que
por	por	SPS00	por
medo	medo	NCMS000	medo
do	do	SPS00+DA0MS0	de+o
tromento	tormento	NCMS000	tormento
desião	diziam	VMII3P0	dizer
de	de	SPS00	de
defronte	defronte	RG	defronte
q	que	CS	que
dera	dera	VMIM0S0	dar
nella	nela	SPS00+PP3FS000	em+ele
	,	Fc	,
com	com	SPS00	com
o	o	DA0MS0	o
que	que	PR0CN000	que
a	a	SPS00	a
leixarão	leixaram	NCMS000	leixaram
.	.	Fp	.
